content,date,like,place,tags
#제주#제주특별시#제주도#제주도관광#성산읍#백패킹#섬패킹#등산#산스타그램🌳#제주백패킹#백패킹성지#우도#비양도#빛내림#혜연이랑#둘이서👫#3박4일#제주여행2020년 7월 24일(금)오늘 풍랑주의보에 잡혀서 우도 못빠져나감🤣🤣🤣🤣강제 비양도 2박째ㅋㅋ내일 아침 첫배로 나가도 부산복귀 비행기 시간 못 맞춘다는😂😂내일 언제 빠져나갈수 있을지 기약이 없어ㅠ 렌트카 추가요금 내고 연장신청하고 비행기 위약금 물고 취소하고ㅠㅠ제기랄😅오늘 아침 빛내림 사진들😎,"['#제주', '#제주특별시', '#제주도', '#제주도관광', '#성산읍', '#백패킹', '#섬패킹', '#등산', '#산스타그램🌳', '#제주백패킹', '#백패킹성지', '#우도', '#비양도', '#빛내림', '#혜연이랑', '#둘이서👫', '#3박4일', '#제주여행2020년']",2020-07-24,565,
#the3space #가족스냅.우리가족의 찐 행복💕.HM/Dress @jina_n_jay .📸 @the3space_snap ▪️ 카카오채널 : the3space.#제주스냅 #제주도스냅 #제주도가족스냅 #제주스냅the3space #리마인드웨딩 #제주도리마인드웨딩 #제주도가족사진 #제주도관광,"['#the3space', '#가족스냅.우리가족의', '#제주스냅', '#제주도스냅', '#제주도가족스냅', '#제주스냅the3space', '#리마인드웨딩', '#제주도리마인드웨딩', '#제주도가족사진', '#제주도관광']",2021-03-03,255,제주도
행복은 멀지 않은 곳에 있다며남양주-제주 700km,[],2021-05-19,293,사계바다
💛💛💛10월의 제주도는 억새의 계절 ! 🌾사람도 없구 너무 한적하구 좋았던곳이였어요🚗다음에는 어딜 가지? ღゝ◡╹)ノ♡...📍애월어딘가#빛나투어_제주✈️,['#빛나투어_제주✈️'],2020-10-10,619,제주도 Jeju Island
"#협찬⠀바다 위에서 느끼는 제주의 자연지난번 쇠소깍에 왔을 때는 현장 발권해서 엄청 오래 기다렸다가 탔는데,이번에는 서귀포 in 정 통해서 예약하고 왔더니 대기 없이 바로 이용할 수 있었어요.⠀먼저 전통 조각배(카약)와 테우를 탑승하러 GO!!전통 조각배(카약)를 타면서 제주도의 운치를 느낄 수 있었어요. 물론 풍경도 예뻐서 아무렇게나 사진을 찍어도인생 샷이 나오더라고요~🛶⠀그리고 가이드님과 함께한 테우!테우는 육지와 가까운 바다에서 고기잡이, 제주 해녀들의 이동 수단으로 사용했다고 해요. 제주도민들의 삶을 간접적으로 체험할 수 있는 뜻깊은 시간이었답니다.🚣‍♀️⠀쇠소깍을 체험한 다음 방문한 하효맘 원데이의 쿠킹 클래스!직접 감귤과즐 만들기 체험을 했는데, 재미도 있고, 정성으로 만들어 지인에게 선물하기 딱이더라고요.🍪⠀진짜 해외여행 가고 싶다는 생각 쏙 들어가게 만드는 곳, 그래 바로 이거지! 제주도 이색 체험부터 인생 샷까지 한 번에 다 가질 수 있는 곳💯⠀#서귀포in정 #서귀포인정 #서귀포몰 #제주도몰 #제주온라인쇼핑몰 #제주쇠소깍 #쇠소깍 #쇠소깍조각배 #쇠소깍테우 #조각배 #테우 #제주도여행 #제주도여행지추천 #제주도관광 #제주도관광지추천 #제주감귤체험 #감귤과즐체험 #하효맘 #하효마을 #감귤마을⠀","['#협찬⠀바다', '#서귀포in정', '#서귀포인정', '#서귀포몰', '#제주도몰', '#제주온라인쇼핑몰', '#제주쇠소깍', '#쇠소깍', '#쇠소깍조각배', '#쇠소깍테우', '#조각배', '#테우', '#제주도여행', '#제주도여행지추천', '#제주도관광', '#제주도관광지추천', '#제주감귤체험', '#감귤과즐체험', '#하효맘', '#하효마을', '#감귤마을⠀']",2021-06-11,"1,146",
"요즘 청미인친님들 제주 가실 때 꼭 만나야할 지역책방, 동네서점 소개해보아요.함덕바다, 조천에 있는 #귤다방 🍊 입니다.청미책아이를 오래오래 기다리시다🌈 아리요시 시와코의 《황홀한 사람》과 🍅 베로니크 드 뷔르의 《체리토마토파이》를드디어 담으셨어요.참고 참은 자에게 복이 있나니🤣파란의자가 반기는 햇살 가득 들어오는 귤다방에서하얀 레이스 위의 몸 담은 책아이들을 만나 반갑다 손인사👋👋 해주세요.책방 이름도 상큼하게 푸근한귤다방 🍊 귤다방 🍊 귤다방 🍊입니다~^^👉👉같이가요 @gyul.da.bang_jeju by @get_regrammer#귤다방#청미출판사밤늦게 비가 퍼붓더니 아침엔햇살가득 날씨 좋네요.화병꽂이 해서 분위기 up~읽고 싶은 책 어떤가요?#제주책방 #제주서점 #동네책방 #동네서점 #감귤밭서점 #베스트셀러 #황홀한사람 🌈×🍊#체리토마토파이 🍅×🍊#함덕바다 #조천 #커피 #한라봉쥬스#하르방쥬스 #여행 #여유 #봄여행 #제주음악 #제주대흘 #제주여행코스 #제주카페추천 #제주가볼만한곳 #제주책방투어 #제주책다방 #제주도체험 #제주도관광 #제주여행선물 #제주기념품","['#귤다방', '#귤다방', '#청미출판사밤늦게', '#제주책방', '#제주서점', '#동네책방', '#동네서점', '#감귤밭서점', '#베스트셀러', '#황홀한사람', '#체리토마토파이', '#함덕바다', '#조천', '#커피', '#한라봉쥬스', '#하르방쥬스', '#여행', '#여유', '#봄여행', '#제주음악', '#제주대흘', '#제주여행코스', '#제주카페추천', '#제주가볼만한곳', '#제주책방투어', '#제주책다방', '#제주도체험', '#제주도관광', '#제주여행선물', '#제주기념품']",2021-05-08,329,
"12시쯤 비가 막 쏟아지기직전, 이후 암것도 못하고밥먹고 숙소로 왔다는슬픈이야기😭😭#제주비밀의숲",['#제주비밀의숲'],2020-10-21,115,
𝙟𝙚𝙟𝙪 𝙡𝙞𝙛𝙚//개인적으로 최근 제일 마음에 든 #수국명소 #제주 #한라산 바라보는 뷰가 너무 멋지고제주의 돌과 들꽃들을 다양하게 만나며 분위기 예쁜 #제주카페 #숨도 까지 있는 곳생각보다 이렇게 좋을지 몰랐는데 볼거리 가득공원을 따라 걷다보면 어느새 절로 자연이 주는기운으로부터 사색할 수 있는 여유 얻을수 있어요,"['#수국명소', '#제주', '#한라산', '#제주카페', '#숨도']",2021-06-04,46234623님 외 484명이 좋아합니,제주숨도
돌하루방도 마스크 😷#휴애리#휴애리자연생활공원#휴애리수국축제#제주도관광지#제주도관광#제주도여행#제주도#제주#제주여행#제주가볼만한곳#제주스냅#제주스냅촬영#힐링여행#여행그램.. #좋아요#좋아요테러#좋아요그램#일상그램#일상기록#데일리#데일리그램#데일리음식#데일리커피#행복한일상#소소한행복#소확행#사색즐기기 #소통해요💕#소통소통#소통해요♥,"['#휴애리', '#휴애리자연생활공원', '#휴애리수국축제', '#제주도관광지', '#제주도관광', '#제주도여행', '#제주도', '#제주', '#제주여행', '#제주가볼만한곳', '#제주스냅', '#제주스냅촬영', '#힐링여행', '#여행그램..', '#좋아요', '#좋아요테러', '#좋아요그램', '#일상그램', '#일상기록', '#데일리', '#데일리그램', '#데일리음식', '#데일리커피', '#행복한일상', '#소소한행복', '#소확행', '#사색즐기기', '#소통해요💕', '#소통소통', '#소통해요♥']",2021-05-01,132,휴애리 자연생활공원
처서가 임박했습니다올 여름 마지막 콩국수가 아닐까요,[],2021-08-19,23,할망곰탕
