content,date,like,place,tags
".💙 구좌 ""제주모랑"" 💙사장님들이 손수 만든 수제소품들이 가득~좋은향이 가득한 구좌의 예쁜 소품샵이야　제주스럽고 아기자기한 소품도 많고다양한 향의 디퓨저 맛집으로 핫함👀❣감성충전하러 가기 딱이쟈나,,🎀@세화해변 근처니까 꼭 들러볼것!📌저장필수　　✅제주시 구좌읍 세화리 구좌로 48✅010-2779-2947✅@Jejumorang　　#제주모랑 #제주소품샵 #세화소품샵 #제주기념품 #제주기념품샵 #구좌읍소품샵 #제주선물가게 #제주소품샵투어 #제주기념품가게 #제주선물추천 #제주시소품샵 #제주여행선물 #제주여행선물추천 #제주여행 #제주핫플 #제주가볼만한곳 #제주도소품샵 #세화가볼만한곳 #제주맛집 #제주도맛집 #서귀포맛집 #제주카페 #서귀포카페","['#제주모랑', '#제주소품샵', '#세화소품샵', '#제주기념품', '#제주기념품샵', '#구좌읍소품샵', '#제주선물가게', '#제주소품샵투어', '#제주기념품가게', '#제주선물추천', '#제주시소품샵', '#제주여행선물', '#제주여행선물추천', '#제주여행', '#제주핫플', '#제주가볼만한곳', '#제주도소품샵', '#세화가볼만한곳', '#제주맛집', '#제주도맛집', '#서귀포맛집', '#제주카페', '#서귀포카페']",2021-08-18,"1,029",
"협찬제주 대표 썬셋 맛집 ""랍스터빈""주소 : 제주시 애월읍 애월해안로 752전화 : 064-743-1979영업 : 오전11시~밤10시 연중무휴포장ㆍ배달 환영제주애월맛집💘 랍스터빈#애월맛집 #애월카페 #애월읍맛집 #제주애월맛집 #제주도맛집 #제주맛집 #제주도카페 #제주카페 #외도맛집 #하귀맛집 #한림맛집 #한림카페#애월해안도로맛집 #애월가볼만한곳 #제주공항맛집 #제주공항근처맛집 #제주여행 #제주도여행","['#애월맛집', '#애월카페', '#애월읍맛집', '#제주애월맛집', '#제주도맛집', '#제주맛집', '#제주도카페', '#제주카페', '#외도맛집', '#하귀맛집', '#한림맛집', '#한림카페', '#애월해안도로맛집', '#애월가볼만한곳', '#제주공항맛집', '#제주공항근처맛집', '#제주여행', '#제주도여행']",2021-08-18,0,
"42년 전통 도민 맛집. 태양을 품은 듯 화끈한 비주얼이다. 포슬포슬한 두부가 푸짐히 들어간 순두부 찌개다. #신해바라기분식 #제주도맛집뜨끈한 국물과 두부 한 숟갈을 떠먹으면 화끈한 매운맛과 뜨거운 열기가 식욕을 자극한다. (신라면보다 조금 매운 정도?)맵기 조절이 가능하기에 취향에 따라 먹을 수 있다. 매운 걸 먹지 못하는 일행이 있다면, 백순두부도 좋다. 더 담백하고 맑은 국물로 두부맛에 집중할 수 있다. 보글보글 끓어나오는 콩비지 느낌의 순두부 찌개와 오징어 젓갈이 기억에 남는 제주도 로컬 맛집이다. 📍 제주 일도1동 1342-4◾순두부찌개 ₩7,000🏷 피웨 부캐 노포 간판 수집가 @nopo__joa🏷 미식가들의 맛집 모음집 @e.a.t.club#순두부찌개 #국밥맛집 #제주맛집 #제주시맛집 #피그웨이브_제주","['#신해바라기분식', '#제주도맛집뜨끈한', '#순두부찌개', '#국밥맛집', '#제주맛집', '#제주시맛집', '#피그웨이브_제주']",2021-08-18,"1,057",제주도
<광고>분위기 좋고!! 매장 내부가 넓어서 쾌적하고좋아요.시간대 잘 맞추시면 애월바다 저녁 노을을바라 보면서 식사도 가능하니 역시 최고죠!!✔제주 제주시 애월읍 애월해안도로 656✔매일 17:00 - 22:00 연중무휴✔064-741-5002#코시롱#애월맛집 #애월읍맛집 #애월맛집추천#애월흑돼지맛집 #제주흑돼지맛집 #제주도흑돼지맛집 #제주애월맛집 #애월가볼만한곳 #제주도맛집#제주맛집 #협재맛집 #한림맛집#애월핫플 #제주게스트하우스 #한담맛집#애월흑돼지 #제주흑돼지 #제주도흑돼지,"['#코시롱', '#애월맛집', '#애월읍맛집', '#애월맛집추천', '#애월흑돼지맛집', '#제주흑돼지맛집', '#제주도흑돼지맛집', '#제주애월맛집', '#애월가볼만한곳', '#제주도맛집', '#제주맛집', '#협재맛집', '#한림맛집', '#애월핫플', '#제주게스트하우스', '#한담맛집', '#애월흑돼지', '#제주흑돼지', '#제주도흑돼지']",2021-08-18,0,
광고)제주공항에서 진~짜가깝고 개별룸이 많아서 더 좋고맛있는 도민맛집으로유명한 '연동대게회타운'낮2시부터 ~ 라스트오더는 밤 12시까지개인룸에서 맘편하게 먹자!!🙊이야.. 살이 꽉 차있네소리가 절로나오는탱글 쫄깃한💦속살에⠀녹~찐한 내장까지증말 스릉흔다❤❤⠀밑반찬 구성도푸짐하니 다양하게즐길 수 있어 좋고!⠀살이꽉찬 대게&킹크랩 맛집👏⠀개별룸 형식으로걱정🙅 ♀없이 먹는'연동대게회타운'⠀<연동대게회타운>*제주 제주시 신대로 125*064-903-1889#제주맛집 #제주도맛집#제주공항근처맛집#제주골프 #제주도골프#제주여행 #제주도여행#제주 #제주도 #제주시맛집 #제주시 #제주도민맛집 #제주공항 #제주도공항,"['#제주맛집', '#제주도맛집', '#제주공항근처맛집', '#제주골프', '#제주도골프', '#제주여행', '#제주도여행', '#제주', '#제주도', '#제주시맛집', '#제주시', '#제주도민맛집', '#제주공항', '#제주도공항']",2021-08-18,0,
.#연동 #모니카옛날통닭간판부터 맛집포스 작렬하는 찐맛집이젠 인생치킨이라고 말하기도 입아픔@칭구야 올때 포장해와@주소 : 제주 제주시 신대로10길 33..#제주맛집 #제주도맛집 #제주공항근처맛집 #제주시맛집 #애월맛집 #중문맛집 #제주공항맛집 #서귀포맛집 #산방산맛집 #신제주맛집 #제주시청맛집 #제주애월맛집 #월정리맛집 #제주여행 #제주핫플,"['#연동', '#모니카옛날통닭간판부터', '#제주맛집', '#제주도맛집', '#제주공항근처맛집', '#제주시맛집', '#애월맛집', '#중문맛집', '#제주공항맛집', '#서귀포맛집', '#산방산맛집', '#신제주맛집', '#제주시청맛집', '#제주애월맛집', '#월정리맛집', '#제주여행', '#제주핫플']",2021-08-19,"1,102",
"그 유명한 #연돈 에 다녀왔습니다. 그런데ㅎ;;;⠀⠀⠀⠀⠀⠀⠀어마무시한 웨이팅으로 찐맛집임을 입증하던 #제주도연돈 이최근 #테이블링 이라는 어플을 통해 예약이 가능해짐으로써극약의 예약 난이도를 자랑하는 먹켓팅맛집으로 거듭났는데요예약 경쟁이 거즘 전쟁급이지만 기꺼이 참전했고, 승리했습니다⠀⠀⠀⠀⠀⠀⠀주문한 메뉴는 등심까스(9,000원)와 치즈까스(10,000원)⭐️수제카레(3,000원)는 현장에서 별도로 추가 주문을 받는데ㄹㅇ 존맛이니까 고민하지 마시고 무조건 [1인 1카레] 하세오 !⠀⠀⠀⠀⠀⠀⠀(입장한 순서와 관계없이 예약 순서대로 서빙해 주시기 때문에더 늦게 들어온 팀이 음식을 먼저 받는 경우가 종종 있는데이에 대한 이해도가 낮아서인지 관련된 악평이 꽤 많더라구요)⠀⠀⠀⠀⠀⠀⠀이윽고 메뉴가 당도한 순간, 뭔가 잘못됐음을 직감했습니다🗿비계부분을 날리고 살코기만 썼다지만 한 눈에 봐도 넘 퍽퍽쓰분명 풍부한 육즙과 부드러운 식감이라고 적혀있었는데 말이죠그렇다고해서 잡내가 나거나하진 않았지만 특별함은 1도 없는;;;⠀⠀⠀⠀⠀⠀⠀더 심각한건 글루텐 함량이 적은+수제 빵가루인 것 까진 좋은데앞, 뒤로 바삭하다 못해 입천장이 까질 정도로 너무 거칠어서에라 모르겠다하고 먹었다가 다음날까지 고생을 했읍니다 ,,ㅎ네, 지금까지 도무지 이해할 수 없는 연돈 등심까스 후기였구요⠀⠀⠀⠀⠀⠀⠀지금의 골목식당을 있게한 장본인, 치돈은 역시나 존맛탱😇♥️#등심까스 와는 전혀 다른 컨디션의 음식이라 깜짝 놀랐습니당만원 한장으로 영접할 수 있는 최고의 치즈까스가 아닐까싶은,,,⠀⠀⠀⠀⠀⠀⠀수제카레 역시 백종원선생님께서 극찬하신 이유가 납득가는 맛양파 카라멜라이징을 어찌나 정성들여서 했는지 풍/미/작/렬1숟갈에 1감탄을 부르는 맛이라, 지나가는 사람 붙잡고 제발한 입만 먹어보라고 하고싶을 정도입니다ㅠ🥺 핵ㅠ존ㅠ맛ㅠ⠀⠀⠀⠀⠀⠀⠀연돈의 ‘ㅇ’라도 경험하고 싶은 분들을 위해 테이크아웃 전용인#수제볼카츠 라는 메뉴도 출시됐다고 하니 궁금하신 분들은매일 오후 8시에 테이블링 앱을 통해 예약에 도전해보세요🙏🏻⠀⠀⠀⠀⠀⠀⠀+) 다녀오신 분들의 리얼후기가 궁금합니다 제발 공유해 주세요⠀⠀⠀⠀⠀⠀⠀📍제주 서귀포시 일주서로 968-10(색달동  2156-2)☎️ 0507-1386-7060🕰 매일 12:00–21:00(B.T 16:00~18:00)/매주 월요일 휴무⠀⠀⠀⠀⠀⠀⠀#아토짱_제주 #제주도맛집 #제주맛집 #제주도가볼만한곳#서귀포맛집 #색달동맛집 #제주도핫플 #제주서귀포맛집#제주도맛집추천 #제주도돈까스 #제주도핫플 #제주도점심","['#연돈', '#제주도연돈', '#테이블링', '#등심까스', '#수제볼카츠', '#아토짱_제주', '#제주도맛집', '#제주맛집', '#제주도가볼만한곳', '#서귀포맛집', '#색달동맛집', '#제주도핫플', '#제주서귀포맛집', '#제주도맛집추천', '#제주도돈까스', '#제주도핫플', '#제주도점심']",2021-08-18,"4,559",연돈
광고)제주공항에서 진~짜가깝고 개별룸이 많아서 더 좋고맛있는 도민맛집으로유명한 '연동대게회타운'낮2시부터 ~ 라스트오더는 밤 12시까지개인룸에서 맘편하게 먹자!!🙊이야.. 살이 꽉 차있네소리가 절로나오는탱글 쫄깃한💦속살에⠀녹~찐한 내장까지증말 스릉흔다❤❤⠀밑반찬 구성도푸짐하니 다양하게즐길 수 있어 좋고!⠀살이꽉찬 대게&킹크랩 맛집👏⠀개별룸 형식으로걱정🙅 ♀없이 먹는'연동대게회타운'⠀<연동대게회타운>*제주 제주시 신대로 125*064-903-1889#제주맛집 #제주도맛집#제주공항근처맛집#제주골프 #제주도골프#제주여행 #제주도여행#제주 #제주도 #제주시맛집 #제주시 #제주도민맛집 #제주공항 #제주도공항,"['#제주맛집', '#제주도맛집', '#제주공항근처맛집', '#제주골프', '#제주도골프', '#제주여행', '#제주도여행', '#제주', '#제주도', '#제주시맛집', '#제주시', '#제주도민맛집', '#제주공항', '#제주도공항']",2021-08-18,0,
"_오늘의 블루보틀✨오픈시간 아주 조금 지나서 도착하니바로 입장하고 여유로움 :)블루보틀×우무가 협업한 커피푸딩과놀라플로트, 리에주 와플 주문.나올때 텀블러도 겟🤭",[],2021-08-18,"2,113",블루보틀 제주
이집 사장님의 인심이 엿보이는 한상이랄까요~ 2인상인데 정말 배 터질정도로 먹고 나왔어요🤣#제주예찬#제주도맛집 #제주맛집 #제주공항근처맛집 #제주시맛집 #제주도갈치조림 #제주예찬갈치조림 #제주갈치맛집 #제주갈치조림맛집 #제주도갈치조림맛집 #제주도갈치구이맛집 #제주도여행 #제주여행 #제주가볼만한곳 #제주도가볼만한곳,"['#제주예찬', '#제주도맛집', '#제주맛집', '#제주공항근처맛집', '#제주시맛집', '#제주도갈치조림', '#제주예찬갈치조림', '#제주갈치맛집', '#제주갈치조림맛집', '#제주도갈치조림맛집', '#제주도갈치구이맛집', '#제주도여행', '#제주여행', '#제주가볼만한곳', '#제주도가볼만한곳']",2021-08-19,저 좋아요를 눌러보세,
