content,date,like,place,tags
🌸 🌸 🌸 수국수국 🌸 🌸 🌸#레이나토퍼#남친선물#여친선물#청주토퍼#우리지금여기#케이크토퍼 #맘스타그램#육아스타그램#토퍼#토퍼제작#가족여행#여행토퍼#여행소품#남편생일상 #생일토퍼#환갑토퍼#산남동토퍼#동남토퍼#사창동토퍼#워킹맘#돌잔치#첫돌상#두돌상#생일상차림#제주도여행 #제주맛집#수국#수국꽃다발#페이퍼플라워#독학중,2021-08-19,u.n.g.w.o.n님 외 2명이 좋아합니,,"['#레이나토퍼', '#남친선물', '#여친선물', '#청주토퍼', '#우리지금여기', '#케이크토퍼', '#맘스타그램', '#육아스타그램', '#토퍼', '#토퍼제작', '#가족여행', '#여행토퍼', '#여행소품', '#남편생일상', '#생일토퍼', '#환갑토퍼', '#산남동토퍼', '#동남토퍼', '#사창동토퍼', '#워킹맘', '#돌잔치', '#첫돌상', '#두돌상', '#생일상차림', '#제주도여행', '#제주맛집', '#수국', '#수국꽃다발', '#페이퍼플라워', '#독학중']"
"지난 며칠간 풍정사계를 찾으셨지만 맛보지 못한 손님들께 다시한번 사죄의 말씀 드립니다😭😅😭오늘 이 귀한 풍정사계를 넉넉히 채워뒀어요🙏🏻언제 또 소진될지 모르니 얼른 오셔서 드셔보세요☺️포장 하실 때 풍정사계도 포장 가능하십니다!아참 그리고 우려했던 일이 생각보다 빨리 발생했어요..그래서 앞으로 예약은 예약금을 받고 진행 하도록 하겠습니다..😞그럴일은 없을거라 생각 했건만....곧 새로 공지 올리도록 하겠습니다🥶오늘도 5시부터 오픈하고 당분간 걸리두기 4단계로 최대 인원이 2인 까지밖에 안되니 참고 부탁 드릴께요!!포장은 미리 전화로 주문 주세요😉항상 감사합니다🙇🏻‍♂️🙇🏻‍♂️🙇🏻‍♂️🙏🏻🙏🏻🙏🏻👾사진은 전설의 대통령상 풍정사계 입니다👾-술을 드시지 않는 손님은 포장 부탁드립니다😉-영업시간 중에는 DM보다는 전화가 빠릅니다😉❗️8시 이후에는 재고 확인 차 전화 한번 주시고 오시면 더 좋을것 같습니다❗️🙏🏻오늘도 열심히 최선을 다 하겠습니다🙏🏻❗️인손의 정기 휴무일은 매주 일, 월요일이에요❗️영업시간은 오후5시부터 11시까지,🙏🏻재료가 떨어지고 늦은밤 손님이 끊기면 일찍 마감할 때도 있습니다🙏🏻🙇🏻‍♂️🙇🏻‍♂️🙇🏻‍♂️항상 감사합니다🙇🏻‍♂️🙇🏻‍♂️🙇🏻‍♂️🎁포장 문의 환영 입니다🎁🍻한잔 하러 오셔요🍻포장 및 기타 문의는010-4324-7733으로 문자 부탁드려요!감사합니다🙏🙏🤖🤖👨🏻‍🎤👨🏼‍🍳💃🕺🎶제주시 구좌읍 세화4길 10 1층 인손🍺저녁 술 시간⏰오후 5시 ~ 11시#세화#제주맛집#구좌맛집#김녕맛집#세화맛집#인손#세화술집#세화혼술#제주혼술#세화밥집#세화떡볶이#세화야식#세화참치#제주참치#제주도참치#구좌참치#세화가볼만한곳#참다랑어#혼마구로#세화횟집#세화심야식당#세화딱새우#딱새우회#세화딱새우회#제주가볼만한곳#딱새우포장#풍정사계",2021-08-19,14,인손,"['#세화', '#제주맛집', '#구좌맛집', '#김녕맛집', '#세화맛집', '#인손', '#세화술집', '#세화혼술', '#제주혼술', '#세화밥집', '#세화떡볶이', '#세화야식', '#세화참치', '#제주참치', '#제주도참치', '#구좌참치', '#세화가볼만한곳', '#참다랑어', '#혼마구로', '#세화횟집', '#세화심야식당', '#세화딱새우', '#딱새우회', '#세화딱새우회', '#제주가볼만한곳', '#딱새우포장', '#풍정사계']"
이번주 내내 비소식이네요🥲@hotelcerritos @monicafarm107@zemstaurant ...#제주도 #제주여행 #제주카페 #호텔세리토스 #제주맛집 #일상 #모니카팜 #데일리 #애견동반카페 #제주애견동반 #제주애견동반카페 #셀피 #셀카 #셀스타그램 #오오티디 #팔로우 #맞팔 #젬스토랑 #좋아요 #좋반 #travel #likesforlike #daily #selfie#애월 #소품샵 #제주카페추천 #제주가볼만한곳 #제주뷰맛집 #제주옷가게,2021-08-19,0,,"['#제주도', '#제주여행', '#제주카페', '#호텔세리토스', '#제주맛집', '#일상', '#모니카팜', '#데일리', '#애견동반카페', '#제주애견동반', '#제주애견동반카페', '#셀피', '#셀카', '#셀스타그램', '#오오티디', '#팔로우', '#맞팔', '#젬스토랑', '#좋아요', '#좋반', '#travel', '#likesforlike', '#daily', '#selfie', '#애월', '#소품샵', '#제주카페추천', '#제주가볼만한곳', '#제주뷰맛집', '#제주옷가게']"
제주 오일장중에 내가 제일로 꼽는 서귀포향토오일시장🥰육지에서 손님와서 양념게장 좀 사고 식사🍲테이블 번호는 자고로 화투가 간지지요🤫 푸짐하고 맛있는 본전식당 따봉👍🏻,2021-08-19,7,서귀포향토오일장,[]
.늦장마 처럼 가을비가 열흘이 넘도록 계속되네요이렇게 종일 촉촉한 날씨는술꾼들에겐 완벽한 나날의 연속ㅋㅋ마담나탈리소셜클럽은제주도 코로나4단계 기간동안4시에 오픈할게요 시간이 없어요한시간이라도 일찍 적셔요 우리🍷.,2021-08-19,0,마담나탈리소셜클럽,[]
#정바비ᴊᴇᴊᴜ여행 🌴사장님이 정말 친절하시고 이뻐해주셨댜 😍손님들한테도 이쁨 듬뿍 받고 사진도 찍고 😆담에 제주도 오면 또 갈꺼예요~👍,2021-08-19,51,Hibi & Kohaku,['#정바비ᴊᴇᴊᴜ여행']
고기국수도 국수지만 육전이 기가 막힌곳#먹돌주소: 제주 제주시 월성로 26...#제주도맛집 #제주맛집 #제주공항근처맛집 #제주도여행 #제주도고기국수 #제주도고기국수클라스#제주국수 #제주여행 #제주가볼만한곳 #제주도가볼만한곳 #제주도먹방 #제주도 #제주 #제주도카페 #제주카페,2021-08-19,1,,"['#먹돌주소:', '#제주도맛집', '#제주맛집', '#제주공항근처맛집', '#제주도여행', '#제주도고기국수', '#제주도고기국수클라스', '#제주국수', '#제주여행', '#제주가볼만한곳', '#제주도가볼만한곳', '#제주도먹방', '#제주도', '#제주', '#제주도카페', '#제주카페']"
"중문 근처에서 제일 오래되고 제일 맛있다고 소문난 가!람!돌!솥!밥팔뚝만한 갈치를 직접 눈앞에서 손질해줘서 먹기도 편하고 서비스 만족도까지 최상🤩#중문가람돌솥밥,,,,#제주맛집#서귀포맛집#중문맛집#제주중문맛집#중문관광단지맛집#제주통갈치구이#제주도아침식사#제주도통갈치구이#제주갈치구이#중문아침식사#중문갈치구이#중문맛집중문가람돌솥밥#제주전복돌솥밥#제주도갈치구이#제주도중문맛집#제주전복맛집",2021-08-19,저 좋아요를 눌러보세,제주도 Jeju Island,"['#중문가람돌솥밥', '#제주맛집', '#서귀포맛집', '#중문맛집', '#제주중문맛집', '#중문관광단지맛집', '#제주통갈치구이', '#제주도아침식사', '#제주도통갈치구이', '#제주갈치구이', '#중문아침식사', '#중문갈치구이', '#중문맛집중문가람돌솥밥', '#제주전복돌솥밥', '#제주도갈치구이', '#제주도중문맛집', '#제주전복맛집']"
맛집리스트에 있던 #라스또르따스 삼실근처로 이전했단 소식에 점심시간에 잽싸게 다녀왔지요🤗하와이아나 너무 맛있어요🌮,2021-08-19,2,제주시청에서,['#라스또르따스']
"#제주맛집 #데미안 #돈가스우연히 찾은 제주도의 돈가스 맛집 데미안에 다녀왔습니다. 11시 반즘에 갔는데 웨이팅 50분 정도 했어요 ㅠㅠ제가 먹은 돈가스 중에 최고로 맛있던 첫 입이었습니다! 바삭바삭에 고기가 입에서 살살 녹아요🤍돈가스 무한리필인데 저는 두 조각으로 배불러서 추가로 더 못 먹었어요!에피타이저로 전복죽 주는 곳,,,치즈돈가스 2조각 시켜서 같이 먹을 수 있습니다. 일인당 하나씩 후식 음료도 주시는데 감귤 주스 추천해요!저번주에 이사해서 완전 신축건물에 예쁜 디자인, 통창이에요! 뷰도 맛좋은 곳완전 추천합니다!🚗주차되는데 인기가 워낙 많아서 주차장이 만석이네요ㅠㅠ💸돈가스 정식 12000원치즈돈가스 2조각 3000원",2021-08-19,13,,"['#제주맛집', '#데미안', '#돈가스우연히']"
