content,date,like,place,tags
"#난산리다방 #가오픈마지막주. '이번주가 마지막 입니다.'. 제가 운영하는 곳에 구움과자를 판매하고 있어요. 특별한 재능이 있는건 아니고 특별한 재능이 분에게 배워서 2~3일에 한번씩 판매할 양을 반죽하고 직접 굽고 있습니다.. 다양한 맛을 경험해드리고 싶어서 고민 하던 중 서귀포 시내 최애 맛집 @cafe_nowhere_jeju 지금 여기 누님께서 추천해준 #르꼬르동블루 출신의 가루선생님(@garu_garu_baking)을 추천 받았어요.. 오픈 전주에 수업을 요청해서 오픈 3일 전에 처음 제과를 배웠고 한달 가량 계속 체크해주시며 이것저것 알게 모르게 모든것을 다 쏟아주셔서 지금의 맛있는 마들랜, 휘낭시에가 다방에서 판매되고 있어요.. 수업시간에 가르쳐준걸 반죽해보고 복습하면서 이게 맞나하며 연락하면 역시나 100% 아니고 다시 또 유선으로 배우고 있는데요. 한결같이 친절하게 가르침을 주시는 가루 선생님 감사하다는 말을 다시 전합니다.. 이번주 일요일까지가 가오픈 기간입니다. 가오픈 후 1주일은 공간 및 메뉴 재정비를 위해 닫을 예정이에요. 이번이 마지막은 아니지만 가오픈 어택을 마지막으로 하러오실 분들은 오늘부터 4일을 놓치지 마세요 🙏 남은 기간 연습 중인 마지막 구움과자인 무화과 미니파운드 케익을 판매할 예정이에요. . 가오픈은 이번주가 마지막 입니다!! 🙏언능 준비해서 오세요!! 😏 정식 오픈일은 다음주 중에 다시 공지드릴께요! 😍","['#난산리다방', '#가오픈마지막주.', '#르꼬르동블루']",2021-08-19,471,난산리다방
"_오늘의 블루보틀✨오픈시간 아주 조금 지나서 도착하니바로 입장하고 여유로움 :)블루보틀×우무가 협업한 커피푸딩과놀라플로트, 리에주 와플 주문.나올때 텀블러도 겟🤭",[],2021-08-18,"2,148",블루보틀 제주
"#청춘나길 📢 스냅 촬영 안내 및 가격 공지🎁상품안내: 1시간 2시간 4시간 (그 외 시간 협의)기본적으로 2시간 이상 촬영으로 진행합니다.2️⃣시간 촬영의 경우 3개 장소에서 촬영이 진행되며,원본 약 300-400장, 보정본 15장 이상 제공됩니다.4️⃣시간 촬영의 경우 기본 6개 장소에서 촬영이 진행되며,원본 약 700장, 보정본 30장 이상 제공됩니다.원하시는 경우, 픽업 및 드랍 서비스는 무상으로 제공됩니다.아기가 함께하거나 일정에 여유가 없을 땐1️⃣시간 촬영을 추천드립니다.1-2개 장소에서 촬영이 진행되며,원본 약 200장, 보정본 8장 이상 제공됩니다.💰가격안내1시간 10만원2시간 15만원4시간 30만원(📎4인까지 동일한 가격으로 진행되며,5인 이상 촬영은 추가 비용이 발생합니다.)🚗픽업 및 드랍 서비스차량이 없는 고객님들에게 추천드립니다.원하시는 장소에서 픽업 해, 촬영 후 원하시는 장소에 드랍해 드립니다.1-2시간 촬영 시에는 추가 비용이 발생하며 (+3만원)4시간 촬영 시에는 무상으로 제공됩니다.👑예약금 안내예약 시 소정의 예약금을 먼저 받고 있습니다. 우천시에는 상황에 따라 예약금 환불 및 예약 취소를 해드리거나 가능할 시 일정 변경을 해드리고 있습니다.😷제주 거리두기 4단계 시행시, 노을 시간대 촬영은 최대 2인까지 가능합니다.일상 속 문득 찾아오는 그런 순간들을 담아드릴게요 :)",['#청춘나길'],2021-08-17,670,환상의 섬 Jeju Island
▪️배 안나온다고 체중이 늘지 않는다고쓸데없이 걱정했던 지난날을 반성하며 ㅋㅋ출산이 다가오니까 배는 다 불러오는구나설마했던 튼살도 생겨서 세상 속상😭.신기하게도 휴직과 동시에 각종 증상이 나타남.럭키야 너 그동안 엄마 일하라고 참아준거니?세상 여유롭던 안정기시절이 그립구나🥺그래도 천천히 건강하게 자라서 나와주렴👼🏻.#제주여행 #태교여행 #법환바다안정기시절.. 이제 #임신10개월 #만삭,"['#제주여행', '#태교여행', '#법환바다안정기시절..', '#임신10개월', '#만삭']",2021-08-19,ela___님 외 521명이 좋아합니,법환바다
"42년 전통 도민 맛집. 태양을 품은 듯 화끈한 비주얼이다. 포슬포슬한 두부가 푸짐히 들어간 순두부 찌개다. #신해바라기분식 #제주도맛집뜨끈한 국물과 두부 한 숟갈을 떠먹으면 화끈한 매운맛과 뜨거운 열기가 식욕을 자극한다. (신라면보다 조금 매운 정도?)맵기 조절이 가능하기에 취향에 따라 먹을 수 있다. 매운 걸 먹지 못하는 일행이 있다면, 백순두부도 좋다. 더 담백하고 맑은 국물로 두부맛에 집중할 수 있다. 보글보글 끓어나오는 콩비지 느낌의 순두부 찌개와 오징어 젓갈이 기억에 남는 제주도 로컬 맛집이다. 📍 제주 일도1동 1342-4◾순두부찌개 ₩7,000🏷 피웨 부캐 노포 간판 수집가 @nopo__joa🏷 미식가들의 맛집 모음집 @e.a.t.club#순두부찌개 #국밥맛집 #제주맛집 #제주시맛집 #피그웨이브_제주","['#신해바라기분식', '#제주도맛집뜨끈한', '#순두부찌개', '#국밥맛집', '#제주맛집', '#제주시맛집', '#피그웨이브_제주']",2021-08-18,"1,079",제주도
오프숄더 가능했던 제주라니쩍👰🏻‍♀️#jeju#jejuisland #제주여행,"['#jeju', '#jejuisland', '#제주여행']",2021-08-18,967,제주시차
가로사진이 훨씬 더 어울리는 공간이라 이번 피드는 좀🤔일찍 가면 홀로 명상(Mindfulness)하기 좋은 공간🌿오후부터 밀려오는 커플들👩🏻‍🤝‍👨🏼 주의🤦🏻‍♂️#제주신상카페 #월정리카페 #아이엠더그라스,"['#제주신상카페', '#월정리카페', '#아이엠더그라스']",2021-08-18,701,월정리해변
"[ 반신욕으로 피로를 달래기 좋은 제주 숙소🌴 ]⠀📍#제주 #동명차경📍25만원(1박/2인/6월 평일기준)📍제주의 자연을 그대로 담아온 감성 끝판왕 숙소📍머무른 방 : 동명방📍네이버예약으로 예약가능📍숙소문의 : @dm_chakyung📍제주 제주시 한림읍 명월성로 52⠀감성 가득한 제주숙소💙⠀6월에 오픈한 신축 숙소인데 오픈 전부터 너무 핫해서 예약 실패했다가취소건 예약 성공해서 다녀온 곳🥺❤️⠀동명차경엔 독채가 2개예요.4인까지 투숙 가능한 동명과 2인 투숙 가능한 차경방, 이렇게 2개가 있어요.차경방이 훨씬 유명해서 동명이라도 예약 성공한게 어디야 하는 마음으로 갔지만!! 두둥🥺🥺 후기에 동명방 사진이 너무 없었을 뿐 생각 이상으로 너무 좋았어요💙⠀침실, 거실, 다도 공간, 자쿠지 공간, 주방도 엄청 넓어요.간단한 조식까지 준비 되어있어서 너무 갬동이었다는😭⠀창가로 비치는 따뜻한 햇살, 숙소 옆으로 세워진 돌담벽 등숙소 곳곳이 제주 감성으로 가득 채워져 있답니다평화로운 제주 자연을 만끽하고 싶으시다면동명차경, 추천드려요💛⠀🔖Tip✔동명방 기준 최대 4인 숙박 가능✔체크인 4시 체크아웃 11시✔간단한 조식 포함 음료제공(요거트, 분다버그, 블루베리, 딸기, 커피)✔1회용 칫솔 치약 구비✔ 21년 7월 30일 기준 21년 10월까지 예약마감⠀🏠@aria.leeee님이 머무른 곳⠀#여행머무름 팔로우 >> 지역별 숙소 정보 모아보기✨————————————————✔더 많은 제주도 숙소 정보는?#여름_제주도 #여행머무름_제주도 #여름제주도 검색🔍⠀✔더 많은 여행지는? @travelmenu1⠀✔더 많은 카페 정보는? @1day1cafe_————————————————..#제주 #제주도 #제주여행 #제주숙소 #제주감성숙소 #제주숙소추천 #제주도숙소 #한림숙소 #한림숙소추천 #제주한림읍 #제주펜션 #제주독채펜션 #제주핫플 #제주신축펜션 #국내숙소 #국내숙소추천 #동명차경 #자쿠지숙소","['#제주', '#동명차경📍25만원(1박/2인/6월', '#여행머무름', '#여름_제주도', '#여행머무름_제주도', '#여름제주도', '#제주', '#제주도', '#제주여행', '#제주숙소', '#제주감성숙소', '#제주숙소추천', '#제주도숙소', '#한림숙소', '#한림숙소추천', '#제주한림읍', '#제주펜션', '#제주독채펜션', '#제주핫플', '#제주신축펜션', '#국내숙소', '#국내숙소추천', '#동명차경', '#자쿠지숙소']",2021-08-18,605,제주도 Jeju Island
#제주전복맛집JEJU하면 빼먹을 수 없는 전복😆이때 먹지 언제 먹어보겠어~존맛탱 전복 요리 가득하니까 ❗️마음껏 왕창 먹고 돌아가즈아🙊@각이다🙋‍♂️1. 도두해녀의집제주 제주시 도두항길 162. 명진전복제주특별자치도 제주시 구좌읍 해맞이해안로 12823. 연미정제주 제주시 구좌읍 세평항로 144. 평대전복제주 제주시 구좌읍 해맞이해안로 1254-25. 다도제주특별자치도 서귀포시 이어도로 866-296. 오가네전복설렁탕제주 서귀포시 중산간동로 77387. 어마장장제주 제주시 성지로 62✔️메인사진은 다도 입니다.#제주여행 #제주도여행 #제주여행코스 #제주가볼만한곳 #제주맛집추천 #제주도맛집추천 #제주핫플 #제주도핫플 #제주도가볼만한곳 #제주도데이트코스 #도두해녀의집 #명진전복 #연미정 #평대전복 #다도 #오가네전복설렁탕 #어마장장,"['#제주전복맛집JEJU하면', '#제주여행', '#제주도여행', '#제주여행코스', '#제주가볼만한곳', '#제주맛집추천', '#제주도맛집추천', '#제주핫플', '#제주도핫플', '#제주도가볼만한곳', '#제주도데이트코스', '#도두해녀의집', '#명진전복', '#연미정', '#평대전복', '#다도', '#오가네전복설렁탕', '#어마장장']",2021-08-18,"1,270",
제주도 여행기록📸행복했던 기억 하나씩 하나씩💪🏻더 늦기전에 정리하며 올려야지😽#제주도#추억여행#협재,"['#제주도', '#추억여행', '#협재']",2021-08-19,1,Jeju-do
