,title,date,content
0,파이썬 독학 : 쉽게 접근하는 방법,2021.08.11.,#파이썬 파이썬은 코딩을 하기 위해서 필요한 프로그래밍 언어 중 하나로 다른 프로그래밍 언어에 비해 난이도가 쉬운 편이고 개발을 할 수 있는 소프트웨어 종류가 다양한 편이라서 어떠한 목적이든 처음 코딩을 입문하는...
1,프로그래밍 독학을 파이썬으로 시작해야 하는 4가지 이유,2021.07.22.,"C, 자바(Java), 파이썬(Python), 코틀린(Kotlin), 스위프트(Swift), 자바스크립트(JavaScript)..! 수많은 언어 때문에 눈이 핑핑 돌아갑니다. 그래서 프로그래밍 좀 한다는 친구들에게 어떤 언어가 좋은지 물어보면 이렇게..."
2,파이썬 학원 실용적 커리큘럼!,2021.08.09.,"저는 원래 국제회의 분야 취직을 희망했는데, 이 시국에 신규 채용 0건이었기 때문에 파이썬 학원으로 발을... 저는 이 중에서 네덜란드 개발자 귀도 반 로섬이 만든 파이썬을 골랐는데요. 21세기 이 시점, 모든 사람들이..."
3,빅데이터학원 파이썬부터 R까지 배워보기,2021.07.27.,"수업은 파이썬을 기반으로 기초적인 데이터 분석과 머신러닝, 빅데이터 분석 등을 배울 수 있는 과정이였고... 주로 기본적으로 사용되기도하고 실무에서도 많이 활용되고 있는 파이썬의 기초적인 문법과 문자열, 자료구조..."
4,파이썬 공부 - 어떤 목적을 가지고 어떻게 공부할래?,7일 전,"파이썬의 유래 파이썬은 프로그램을 설계하는 프로그래밍 언어 중 하나입니다. C언어를 기반으로 한 오픈소스 고급 프로그래밍 언어로, 1991년 귀도 반 로섬에 의해 설계 및 개발되었습니다. '파이썬'이란 영어의 의미는..."
5,파이썬프로그래밍 교육 추천 파이썬학원 코리아IT아카데미 취업연계 굿!,2021.08.18.,"코리아IT아카데미 파이썬프로그래밍 교육을 통해 누구나 전문과 과정을 밟을 수 있습니다. 코리아IT아카데미 파이썬학원은 강남 본원을 비롯하여 신촌, 대구, 부산 지점 운영, 교통편이 편리하고, 교육 환경, 최신식..."
6,시스템엔지니어가 파이썬 공부해야 될까요?,2021.08.19.,시스템엔지니어나 보안엔지니어로 일할때 파이썬을 굳이 알아야 되는지에 대해 궁금합니다. 제가 잘 몰라서 그럴수도 있는데요. 리눅스에서 뭐 파이썬으로 배치잡을 만들어쓰는건지 시스템에서 어떤경우에 파이썬을...
7,미디어파이프(Mediapipe) 파이썬 설치하기 - 윈도우10,2021.08.16.,이 미디어파이프를 윈도우 10 + 파이썬(Python)으로 사용하는 방법을 알아보자. 해당 글은 아래의 글을 참고하여 작성되었다. 1. 파이썬 가상환경 설정하기 - 옵션 가상환경을 사용하지 않을...
8,파이썬 기초 프로그래밍 쉽고 재미있게,2021.08.20.,"파이썬 기초 프로그래밍 쉽고 재미있게 안녕하세요. 파이썬은 소프트웨어를 개발할 때 사용하는 프로그래밍 언어 중 하나로 다른 프로프로그래밍 언어에 비해 진입장벽이 낮으며, 개발할 수 있는 소프트웨어의 유형과..."
9,빅데이터 분석을 위한 파이썬 프로그래밍 독학? 클룸으로 쉽게 접근하기,2021.07.14.,"다양한 프로그래밍 언어 중, 제일 많은 선택을 받는 건 '파이썬'입니다. 파이썬 프로그래밍을 독학한다? 네 가능하더군요. 몇 가지 기준만 스스로 잘 세워놓는다면 충분합니다. 우선 ‘체계적인 커리큘럼’을 갖추어야..."
