ID,이디야,스타벅스,커피빈,빽다방,커피지수,y,x
가평,9,2.0,0.0,0.0,0.2222222222222222,3.0,7.0
강릉,15,5.0,0.0,2.0,0.29411764705882354,3.0,11.0
강진,1,0.0,0.0,0.0,0.0,24.0,1.0
거제,9,6.0,0.0,0.0,0.6666666666666666,22.0,8.0
거창,1,0.0,0.0,1.0,0.0,16.0,6.0
경산,9,8.0,0.0,4.0,0.6153846153846154,12.0,11.0
경주,25,8.0,2.0,1.0,0.38461538461538464,12.0,12.0
고령,1,1.0,0.0,0.0,1.0,13.0,9.0
고성(경남),1,0.0,0.0,2.0,0.0,22.0,7.0
고양 덕양,18,15.0,1.0,8.0,0.6153846153846154,3.0,4.0
고양 일산동,12,11.0,5.0,6.0,0.8888888888888888,2.0,4.0
고양 일산서,12,15.0,5.0,2.0,1.4285714285714286,3.0,3.0
고창,1,1.0,0.0,1.0,0.5,18.0,1.0
고흥,3,0.0,0.0,0.0,0.0,22.0,5.0
곡성,1,0.0,0.0,0.0,0.0,21.0,3.0
공주,5,2.0,0.0,1.0,0.3333333333333333,12.0,4.0
과천,2,3.0,0.0,0.0,1.5,8.0,6.0
광명,7,10.0,1.0,2.0,1.2222222222222223,4.0,3.0
광양,9,2.0,0.0,1.0,0.2,21.0,5.0
광주,14,5.0,0.0,4.0,0.2777777777777778,7.0,9.0
광주 광산,20,13.0,0.0,2.0,0.5909090909090909,21.0,2.0
광주 남구,8,11.0,2.0,1.0,1.4444444444444444,23.0,2.0
광주 동구,4,9.0,1.0,4.0,1.25,23.0,3.0
광주 북구,14,11.0,0.0,3.0,0.6470588235294118,22.0,3.0
광주 서구,14,12.0,2.0,2.0,0.875,22.0,2.0
괴산,2,0.0,0.0,0.0,0.0,12.0,8.0
구례,1,0.0,0.0,0.0,0.0,20.0,4.0
구리,9,3.0,0.0,3.0,0.25,3.0,8.0
구미,15,10.0,1.0,5.0,0.55,10.0,10.0
군산,8,4.0,0.0,1.0,0.4444444444444444,16.0,2.0
군포,8,5.0,2.0,9.0,0.4117647058823529,9.0,4.0
금산,1,0.0,1.0,0.0,1.0,15.0,3.0
김제,1,0.0,0.0,1.0,0.0,17.0,3.0
김천,3,2.0,0.0,0.0,0.6666666666666666,11.0,9.0
김포,22,14.0,2.0,13.0,0.45714285714285713,4.0,2.0
김해,32,12.0,1.0,3.0,0.37142857142857144,20.0,9.0
나주,5,1.0,0.0,0.0,0.2,22.0,1.0
남양주,44,12.0,1.0,5.0,0.2653061224489796,2.0,7.0
남원,1,0.0,0.0,1.0,0.0,18.0,5.0
남해,1,0.0,0.0,0.0,0.0,22.0,6.0
논산,2,2.0,0.0,1.0,0.6666666666666666,14.0,3.0
단양,1,0.0,0.0,0.0,0.0,11.0,7.0
담양,1,0.0,0.0,0.0,0.0,20.0,2.0
당진,7,3.0,0.0,3.0,0.3,12.0,1.0
대구 남구,6,3.0,0.0,0.0,0.5,15.0,9.0
대구 달서,14,18.0,0.0,7.0,0.8571428571428571,16.0,8.0
